"req_id","priority","module","requirement","milestone","owner_task","acceptance_ids","status","implementation_evidence"
"R017","P1_MUST","索引","百万结果任意位置分页","M2","T012","A017a;A017b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R018","P1_MUST","设置","保存筛选与位置恢复","M2","T014","A018a;A018b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R019","P1_MUST","图片","分级缩略图与缓存键","M3","T018","A019a;A019b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md;docs/VALIDATION_AUDIT_2a85ac5.md"
"R020","P1_MUST","图片","适屏到真正原图","M3","T015","A020a;A020b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R021","P1_MUST","图片","真实RAW查看","M3","T016","A021a;A021b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R022","P1_MUST","图片","常用图片格式和RAW家族","M3","T015","A022a;A022b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R023","P1_MUST","图片","现代格式随包可用","M3","T015","A023a;A023b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R024","P1_MUST","图片","GIF APNG WebP动画","M3","T017","A024a;A024b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R025","P1_MUST","文件浏览","多页扫描文件按普通文件浏览","M3","T017","A025a;A025b","IN_PROGRESS","docs/PHASE_ONE_SCOPE_UPDATE.md"
"R026","P1_MUST","图片","颜色透明和位深","M3","T016","A026a;A026b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md;docs/VALIDATION_AUDIT_2a85ac5.md"
"R027","P1_MUST","图片","超大图瓦片与资源保护","M3","T018","A027a;A027b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R028","P1_MUST","图片","切换预取与旧请求隔离","M3","T019","A028a;A028b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md;docs/VALIDATION_AUDIT_2a85ac5.md"
"R029","P1_MUST","界面","查看器完整交互","M3","T019","A029a;A029b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md;docs/VALIDATION_AUDIT_2a85ac5.md"
"R030","P1_MUST","性能","有界优先级调度","M7","T030","A030a;A030b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md;docs/VALIDATION_AUDIT_2a85ac5.md"
"R031","P1_MUST","基础","IPC隔离取消与故障恢复","M1","T006","A031a;A031b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md;docs/VALIDATION_AUDIT_2a85ac5.md"
"R032","P1_MUST","媒体","视频元数据与封面","M4","T020","A032a;A032b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R033","P1_MUST","媒体","外部播放器配置和调用","M4","T021","A033a;A033b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R034","P1_MUST","媒体","当前结果播放列表","M4","T021","A034a;A034b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R035","P1_MUST","媒体","原生音频单项试听","M4","T022","A035a;A035b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R036","P1_MUST","文本","超大文本分页查看","M5","T023","A036a;A036b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R037","P1_MUST","文本","编码和分块边界","M5","T023","A037a;A037b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R038","P1_MUST","文本","大文本搜索和复制","M5","T024","A038a;A038b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R039","P1_MUST","文本","Markdown富文本与原文","M5","T025","A039a;A039b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R040","P1_MUST","安全","Markdown不可信资源","M5","T025","A040a;A040b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R041","P1_MUST","容量","目录容量排名和占比","M6","T026","A041a;A041b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md;implementation/CAPACITY_DASHBOARD_EVIDENCE.md"
"R042","P1_MUST","容量","全目录和固定结果容量","M6","T027","A042a;A042b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md;implementation/CAPACITY_DASHBOARD_EVIDENCE.md"
"R043","P1_MUST","容量","逻辑占用与硬链接未知","M6","T027","A043a;A043b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md;implementation/CAPACITY_DASHBOARD_EVIDENCE.md"
"R044","P1_MUST","容量","容量增量与版本一致","M6","T026","A044a;A044b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md;implementation/CAPACITY_DASHBOARD_EVIDENCE.md"
"R045","P1_MUST","闭环","只读基础文件操作","M6","T028","A045a;A045b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R046","P1_MUST","闭环","设置和缓存分离","M6","T028","A046a;A046b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R047","P1_MUST","界面","完整错误态和可观测性","M6","T029","A047a;A047b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R048","P1_MUST","索引","数据库迁移崩溃恢复","M6","T029","A048a;A048b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R049","P1_MUST","界面","键盘无障碍与焦点","M7","T032","A049a;A049b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R050","P1_MUST","性能","内存磁盘GPU预算","M7","T030","A050a;A050b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R051","P1_MUST","安全","Native解码安全限制","M7","T031","A051a;A051b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R052","P1_MUST","安全","源文件只读和隐私","M7","T031","A052a;A052b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R053","P1_MUST","性能","真实交互性能基准","M7","T033","A053a;A053b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md;docs/VALIDATION_AUDIT_2a85ac5.md"
"R054","P1_MUST","性能","长稳与故障注入","M7","T034","A054a;A054b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R055","P1_MUST","交付","完整可重复构建脚本","M8","T036","A055a;A055b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R056","P1_MUST","交付","自包含便携离线运行","M8","T037","A056a;A056b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R057","P1_MUST","交付","每用户安装升级卸载","M8","T038","A057a;A057b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R058","P1_MUST","交付","依赖许可证和来源","M8","T035","A058a;A058b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R059","P1_MUST","交付","证据完整发布判定","M8","T040","A059a;A059b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R060","P1_MUST","开发","代理持续推进和交接","M0","T001","A060a;A060b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R061","P1_MUST","媒体","音频元数据与列表","M4","T020","A061a;A061b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R062","P1_MUST","媒体","网格媒体懒加载","M4","T020","A062a;A062b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R063","P1_MUST","界面","DPI显示设备恢复","M7","T032","A063a;A063b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R064","P1_MUST","目录","扫描状态持久化与再打开","M1","T008","A064a;A064b","IN_PROGRESS","implementation/PROGRESS.md;implementation/P1_GAPS.md"
"R065","P1_MUST","筛选","文件夹名称路径正则与保留例外；规则不重扫并可保存","M2","","A065a;A065b","IMPLEMENTED","src/FolderLens.Core/DirectoryRules.cs;tests/FolderLens.UnitTests/DirectoryRuleTests.cs"
"R066","P1_MUST","文件浏览","通用文档分类与详细信息视图；保留图片网格优势","M3","","A066a;A066b","IN_PROGRESS","docs/FILE_BROWSER_PHASE_ONE.md;src/FolderLens.Core/FileCategories.cs"
