"acceptance_id","req_id","kind","test_layer","precondition","steps","expected","blocking","status","evidence_path"
"A006b","R006","反例","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","制造watcher溢出；关闭软件期间改目录再开","dirty范围补扫，停机变化被发现","YES","NOT_RUN",""
"A007a","R007","正常路径","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","访问授权SMB根；断开再恢复","离线快照保留，恢复后核对","YES","NOT_RUN",""
"A007b","R007","反例","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","在阻塞UNC枚举时取消或关闭软件","UI及时响应；独立工作进程受控回收，索引不清空","YES","NOT_RUN",""
"A008a","R008","正常路径","Unit+Integration","锁定构建；受控夹具；按docs/10记录环境和证据","分别对同一子目录启用hideView和skipScan","前者计全容量，后者明确排除扫描与容量","YES","NOT_RUN",""
"A008b","R008","反例","Unit+Integration","锁定构建；受控夹具；按docs/10记录环境和证据","排除foo；观察foobar；移动或重命名排除目录","按路径段/可靠身份匹配；不扩大或误排","YES","NOT_RUN",""
"A009a","R009","正常路径","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","长路径中文emoji大小写敏感目录和云占位夹具","条目不合并；云占位默认不触发批量下载","YES","NOT_RUN",""
"A009b","R009","反例","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","联接循环、设备路径、ADS、指向根外链接","不递归循环、不读取特殊设备，跳过范围可见","YES","NOT_RUN",""
"A010a","R010","正常路径","UI","锁定构建；受控夹具；按docs/10记录环境和证据","百万结果网格/详情切换并快速滚动","只实例化可见控件和有界页，路径可显示/隐藏","YES","NOT_RUN","implementation/REAL_LIBRARY_EVIDENCE.md (partial; full acceptance unchanged)"
"A010b","R010","反例","UI","锁定构建；受控夹具；按docs/10记录环境和证据","拖到深位置后反复切筛选与窗口尺寸","无百万VM/Bitmap常驻，无复用错缩略图","YES","NOT_RUN","implementation/REAL_LIBRARY_EVIDENCE.md (partial; full acceptance unchanged)"
"A011a","R011","正常路径","Unit+Integration","锁定构建；受控夹具；按docs/10记录环境和证据","组合JPG/PNG、RAW only/exclude及类型标签","组内OR组间AND；空集合不限；RAW冲突明确","YES","NOT_RUN",""
"A011b","R011","反例","Unit+Integration","锁定构建；受控夹具；按docs/10记录环境和证据","把PNG改.jpg；加入未知头/静态GIF","最终按真实格式，未知不冒充已确认","YES","NOT_RUN",""
"A012a","R012","正常路径","Unit+Integration","锁定构建；受控夹具；按docs/10记录环境和证据","宽高长短边像素数比例logical/allocated边界夹具","EXIF方向后的尺寸；包含边界；单位换算准确","YES","NOT_RUN",""
"A012b","R012","反例","Unit+Integration","锁定构建；受控夹具；按docs/10记录环境和证据","0.98/1.02比例、64位大值、负数NaN倒置区间","分类边界一致；坏输入拒绝且无溢出","YES","NOT_RUN",""
"A013a","R013","正常路径","Unit+Integration","锁定构建；受控夹具；按docs/10记录环境和证据","同条件含ready/pending/failed/unsupported文件","Match/NoMatch/Pending/Unresolvable计数一致","YES","NOT_RUN",""
"A013b","R013","反例","Unit+Integration","锁定构建；受控夹具；按docs/10记录环境和证据","音频遇图像尺寸条件；已知false加未知条件","不适用先判NoMatch；已知false不放Pending","YES","NOT_RUN",""
"A014a","R014","正常路径","Unit+Integration","锁定构建；受控夹具；按docs/10记录环境和证据","多词短语、时长范围、自然日和拍摄时间筛选","条件与规范一致，照片无时区保留墙钟","YES","NOT_RUN",""
"A014b","R014","反例","Unit+Integration","锁定构建；受控夹具；按docs/10记录环境和证据","DST日界、无拍摄时间、名称含SQL符号","不用mtime代拍摄；无SQL注入；日期不重复计边界","YES","NOT_RUN",""
"A015a","R015","正常路径","Unit+Integration","锁定构建；受控夹具；按docs/10记录环境和证据","file2/file10、长数字、中文、多字段升降","固定算法和唯一平局键，NULL始终最后","YES","NOT_RUN",""
"A015b","R015","反例","Unit+Integration","锁定构建；受控夹具；按docs/10记录环境和证据","用户区域设置变化及超过64位数字文件名","排序不随系统locale漂移，不溢出","YES","NOT_RUN",""
"A016a","R016","正常路径","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","筛选后打开大图；后台新增/补元数据","左右顺序不变，提示可刷新","YES","NOT_RUN",""
"A016b","R016","反例","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","当前文件删除/改名/同位置替换","安全跳过/重验，绝不按旧路径打开另一个文件","YES","NOT_RUN",""
"A017a","R017","正常路径","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","构建百万Ready会话并读第80万项","ordinal范围取页，内存有界；达到性能门槛","YES","PASS","artifacts/m0/million-catalog/query-20260912-084659-427/result.json;artifacts/logs/m0-concurrent-query.command.json"
"A017b","R017","反例","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","快照构建取消/WAL超阈值/半页写失败","不标Ready；可恢复；活动会话不被缓存清理","YES","NOT_RUN",""
"A018a","R018","正常路径","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据","保存命名视图，关闭重开恢复根/筛选/排序/锚点","不复制源文件；恢复相同视图和有效选择","YES","NOT_RUN",""
"A018b","R018","反例","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据","删除原选中文件；更改排除规则或同名预设","明确处理冲突和最近有效位置，不黑屏","YES","NOT_RUN",""
"A019a","R019","正常路径","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","滚动并返回已看区域；观察256/512/1024请求","只生成所需分级，缓存键含内容/引擎/色彩版本","YES","NOT_RUN",""
"A019b","R019","反例","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","原文件更新、坏缓存、取消滚过的任务","缓存安全失效；不回写旧图；无全目录解码","YES","NOT_RUN",""
"A020a","R020","正常路径","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","加载高分辨率细节夹具，放大100%与平移","原始分辨率细节可见，非缩略图放大","YES","NOT_RUN",""
"A020b","R020","反例","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","低清缓存已存在；窗体150%DPI","100%按物理像素，FullReady不得使用Fit假数据","YES","NOT_RUN",""
"A021a","R021","正常路径","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","Sony A7R IV A真实ARW提预览再RAW开发","两种质量状态可见；开发输出原始尺寸/细节","YES","NOT_RUN",""
"A021b","R021","反例","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","内嵌JPEG低分辨率/RAW部分损坏","不冒充原图；错误明确且可看下一项","YES","NOT_RUN",""
"A022a","R022","正常路径","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","运行能力矩阵JPEG/PNG/BMP/ICO/TIFF及各RAW家族样本","每项报告实际Provider/尺寸/能力和样本SHA","YES","NOT_RUN","implementation/RAW_FAMILY_EVIDENCE.md;artifacts/m0/raw-family/complete-paths/raw-family-results.json;UI and other format variants NOT_RUN"
"A022b","R022","反例","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","缺某家样本或某压缩变体不可读","NOT_RUN/Unsupported精确说明，不宣传全相机支持","YES","NOT_RUN",""
"A023a","R023","正常路径","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","无系统商店codec环境测试HEIC/HEIF/AVIF/JXL","依靠打包Provider完成规定静态SDR查看","YES","NOT_RUN",""
"A023b","R023","反例","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","移除开发机全局codec或制造native版本冲突","完整包仍可用；故障可诊断，不能静默缩范围","YES","NOT_RUN",""
"A024a","R024","正常路径","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","disposal/blend/loop夹具播放暂停重放","帧合成正确，一个活动动画，网格不自动全播放","YES","NOT_RUN",""
"A024b","R024","反例","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","大动画、多帧长时、连续切换到静态图","缓存有界，旧动画停止不覆盖新选择","YES","NOT_RUN",""
"A025a","R025","正常路径","Media+UI","锁定构建；受控双页 TIFF 夹具","多页扫描文件和旧索引迁移","全部文件保留；图片筛选排除；显示页数并允许外部打开","YES","NOT_RUN",""
"A025b","R025","反例","Media+UI","单页图、动画、RAW 和未完成元数据的多页文件","单页及动画不误分类；检测前点击多页文件","单页与动画仍是图片；多页不显示图片翻页预览","YES","NOT_RUN",""
"A026a","R026","正常路径","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","EXIF八方向、ICC、CMYK、PNG16透明边比对","变换正确、alpha无黑边、不重复色彩变换","YES","NOT_RUN",""
"A026b","R026","反例","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","跨不同ICC显示器及Windows高级色彩模式","有验证证据；未验HDR不宣传完整HDR","YES","NOT_RUN",""
"A027a","R027","正常路径","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","超纹理尺寸长图缩放到100%并平移","按视区/层级绘制，不超设备纹理上限","YES","NOT_RUN",""
"A027b","R027","反例","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","300MP边界/解压炸弹/临时盘空间不足","受控拒绝或明确受限预览，不崩溃或FullReady造假","YES","NOT_RUN",""
"A028a","R028","正常路径","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","连续按右键并反向，记录实际呈现","邻近Fit预取；当前优先；旧任务可取消","YES","NOT_RUN",""
"A028b","R028","反例","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","A比B晚返回、worker重启后旧消息到达","当前标题与画面始终同文件；过时资源释放","YES","NOT_RUN",""
"A029a","R029","正常路径","UI","锁定构建；受控夹具；按docs/10记录环境和证据","Fit/100%/缩放/平移/只读旋转/全屏/幻灯片","快捷键/菜单一致，不写旋转到文件","YES","NOT_RUN",""
"A029b","R029","反例","UI","锁定构建；受控夹具；按docs/10记录环境和证据","文本输入有焦点、窗口失焦、删除当前项","不抢输入；幻灯片等待可见画面且不无限跳","YES","NOT_RUN",""
"A030a","R030","正常路径","Performance","锁定构建；受控夹具；按docs/10记录环境和证据","后台扫描/视频封面忙时请求当前RAW或文本页","前台优先，线程IO总配额遵守预算","YES","NOT_RUN",""
"A030b","R030","反例","Performance","锁定构建；受控夹具；按docs/10记录环境和证据","快速取消并重新订阅共享任务、队列满","不误杀有效订阅，不丢扫描事实，无线程风暴","YES","NOT_RUN",""
"A031a","R031","正常路径","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","握手、共享面传递、释放、取消超时任务","协议/代次/所有权校验，重解码进程可回收","YES","NOT_RUN",""
"A031b","R031","反例","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","错误major、超长帧、伪造lease、native崩溃","拒绝消息、无越权资源释放、主程序继续","YES","NOT_RUN",""
"A032a","R032","正常路径","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","横竖视频、SAR/DAR旋转、VFR和封面音频","识别正确尺寸时长编码，音频封面不误分视频","YES","NOT_RUN",""
"A032b","R032","反例","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","损坏/引用外部资源容器、stdout异常膨胀","有时限与输出预算，不联网/卡死","YES","NOT_RUN",""
"A033a","R033","正常路径","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","系统默认及用户选PotPlayer路径打开文件","安全参数传递，用户无需安装本应用内播放器","YES","NOT_RUN",""
"A033b","R033","反例","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","路径中文空格emoji、播放器不存在/退出","实际版本验证；失败明确，不拼shell命令","YES","NOT_RUN",""
"A034a","R034","正常路径","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","固定筛选视频按排序生成M3U8从当前项播放","实际播放器顺序正确，UTF-8验证通过","YES","NOT_RUN",""
"A034b","R034","反例","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据",">10000项、快照未Ready、启动器PID快速退出","明确限制/等待；不提前删除播放列表","YES","NOT_RUN",""
"A035a","R035","正常路径","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","MP3/WAV/FLAC/AAC/M4A试听暂停seek倍速音量","只一个活动源；返回列表状态一致","YES","NOT_RUN",""
"A035b","R035","反例","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","迅速切换/关闭预览/不支持codec/设备变化","旧声音停止，外部回退清楚，无后台残留","YES","NOT_RUN",""
"A036a","R036","正常路径","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据","实际1GiB/5GiB文本首屏翻页和4GiB定位","有界窗口读，未建完行号索引也可使用","YES","NOT_RUN",""
"A036b","R036","反例","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据","256MiB一行、追加/截断、随机远距离seek","不全量字符串/排版，片段标识不意味着原文截断","YES","NOT_RUN",""
"A037a","R037","正常路径","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据","UTF8/BOM/UTF16LEBE/GB18030自动或手选","多字节/代理对/CRLF跨块正确","YES","NOT_RUN",""
"A037b","R037","反例","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据","GB18030四字节跨页、未知/坏编码和二进制","保留字节定位；错误替代明确且可换编码","YES","NOT_RUN",""
"A038a","R038","正常路径","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据","流式搜索跨块词，跳转命中并复制窗口","搜索可取消且位置正确；内存不随文件增长","YES","NOT_RUN",""
"A038b","R038","反例","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据",">10000命中、超16MiB复制、切换后旧搜索返回","明确部分命中/复制上限，旧结果不回写","YES","NOT_RUN",""
"A039a","R039","正常路径","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据","小文档表格代码图片；切原文与预览","安全富文本显示，源/预览切换正常","YES","NOT_RUN",""
"A039b","R039","反例","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据",">8MiB/50000行、解析或渲染超时","自动转完整原文分页，不假称整篇富文本","YES","NOT_RUN",""
"A040a","R040","正常路径","Integration+Media","锁定构建；受控夹具；按docs/10记录环境和证据","恶意HTML/JS/远程图片/窗口/下载/根外链接","不执行不联网，资源限制生效","YES","NOT_RUN",""
"A040b","R040","反例","Integration+Media","锁定构建；受控夹具；按docs/10记录环境和证据","本地image符号链接逃逸、深嵌套/超量图片","拒绝资源并保留可读内容，不越权","YES","NOT_RUN",""
"A041a","R041","正常路径","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据","根直10/A20/A-AA30/B40夹具统计","root100/A50；同层占比和直系文件准确","YES","NOT_RUN","implementation/CAPACITY_DASHBOARD_EVIDENCE.md（后台子集通过，UI未运行）"
"A041b","R041","反例","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据","跨层排名把A与AA同时显示、零字节目录","不相加成重复总量，0分母不NaN","YES","NOT_RUN","implementation/CAPACITY_DASHBOARD_EVIDENCE.md（后台子集通过，UI未运行）"
"A042a","R042","正常路径","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据","切全扫描范围和筛选RAW快照范围","统计口径标明，当前结果与同一session一致","YES","NOT_RUN","implementation/CAPACITY_DASHBOARD_EVIDENCE.md（后台子集通过，UI未运行）"
"A042b","R042","反例","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据","快照后新增改名/体积变化、HideInView与SkipScan","不混时刻数据，排除范围准确","YES","NOT_RUN","implementation/CAPACITY_DASHBOARD_EVIDENCE.md（后台子集通过，UI未运行）"
"A043a","R043","正常路径","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据","压缩/稀疏/硬链接和云占位夹具","logical与allocated分开；路径累计有说明","YES","NOT_RUN","implementation/CAPACITY_DASHBOARD_EVIDENCE.md（后台子集通过，UI未运行）"
"A043b","R043","反例","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据","无法获取分配大小、硬链接ID不完整","未知非0；不承诺删除释放量，不伪去重","YES","NOT_RUN","implementation/CAPACITY_DASHBOARD_EVIDENCE.md（后台子集通过，UI未运行）"
"A044a","R044","正常路径","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据","文件增删改及子目录移动后重建聚合","新旧增量抵消；一次可见同一聚合版本","YES","NOT_RUN","implementation/CAPACITY_DASHBOARD_EVIDENCE.md（后台子集通过，UI未运行）"
"A044b","R044","反例","Integration+UI","锁定构建；受控夹具；按docs/10记录环境和证据","重复事件/旧版本更新/聚合中失败或离线","不双加，旧完整结果保留并显示部分状态","YES","NOT_RUN","implementation/CAPACITY_DASHBOARD_EVIDENCE.md（后台子集通过，UI未运行）"
"A045a","R045","正常路径","UI","锁定构建；受控夹具；按docs/10记录环境和证据","复制完整/相对路径/文件引用、定位和外部编辑器","不自行写原件，资源管理器定位正确","YES","NOT_RUN",""
"A045b","R045","反例","UI","锁定构建；受控夹具；按docs/10记录环境和证据","百万Ctrl+A、超过10000文件引用、脚本文件","选择无百万对象；明确限制；不执行脚本","YES","NOT_RUN",""
"A046a","R046","正常路径","UI","锁定构建；受控夹具；按docs/10记录环境和证据","更改布局/缓存路径/显示模式后重开，清缩略图","预设/索引设置保留；可淘汰缓存独立","YES","NOT_RUN",""
"A046b","R046","反例","UI","锁定构建；受控夹具；按docs/10记录环境和证据","缓存不可写/磁盘满/用户数据JSON损坏","原子设置备份，提示恢复不清全部用户数据","YES","NOT_RUN",""
"A047a","R047","正常路径","UI","锁定构建；受控夹具；按docs/10记录环境和证据","扫描中/空目录/无权限/离线/坏文件/缺组件","原因、进度、取消、重试明确，无假百分比","YES","NOT_RUN",""
"A047b","R047","反例","UI","锁定构建；受控夹具；按docs/10记录环境和证据","一批文件失败或全部引擎加载失败","按原因汇总；不把所有文件永久标坏","YES","NOT_RUN",""
"A048a","R048","正常路径","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","版本升级迁移、强制崩溃后再启动","事务/备份可恢复，设置不被破坏","YES","NOT_RUN",""
"A048b","R048","反例","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","DB锁/损坏/降级版本/持有读事务增长WAL","保护旧数据，报错清晰，不以删除重建掩盖","YES","NOT_RUN",""
"A049a","R049","正常路径","UI","锁定构建；受控夹具；按docs/10记录环境和证据","全流程不用鼠标，检查UIA元素和高对比","AutomationId、焦点顺序、可见焦点和标签正确","YES","NOT_RUN",""
"A049b","R049","反例","UI","锁定构建；受控夹具；按docs/10记录环境和证据","文本框快捷键与查看器快捷键冲突","输入优先，控件操作一致，不意外切图","YES","NOT_RUN",""
"A050a","R050","正常路径","Performance","锁定构建；受控夹具；按docs/10记录环境和证据","大量RAW/动画/文本并发，观察进程树和GPU","遵守docs08预算，所有worker/WebView计入","YES","NOT_RUN",""
"A050b","R050","反例","Performance","锁定构建；受控夹具；按docs/10记录环境和证据","8GB机器/显存紧张/系统盘低于安全线","停止后台回收，当前预览受限明确，不OOM","YES","NOT_RUN",""
"A051a","R051","正常路径","Integration+Media","锁定构建；受控夹具；按docs/10记录环境和证据","恶意尺寸帧数、delegate/网络引用、坏输入","所有Provider共享资源策略，拒绝不安全解释","YES","NOT_RUN",""
"A051b","R051","反例","Integration+Media","锁定构建；受控夹具；按docs/10记录环境和证据","主通路因资源拒绝后触发fallback","fallback不能绕过限制，输出长度/超时受控","YES","NOT_RUN",""
"A052a","R052","正常路径","Integration+Media","锁定构建；受控夹具；按docs/10记录环境和证据","哈希mtime和写入观察覆盖完整浏览流程","源内容未改；无素材上传和明文日志泄漏","YES","NOT_RUN",""
"A052b","R052","反例","Integration+Media","锁定构建；受控夹具；按docs/10记录环境和证据","MD/媒体文件含代理指令或私人Token文本","内容只作为数据；不执行、不进报告/仓库","YES","NOT_RUN",""
"A053a","R053","正常路径","Performance","锁定构建；受控夹具；按docs/10记录环境和证据","按docs08采样首屏筛选切图RAW文本帧时","原始数组及P50/P95/P99有证据；硬门禁通过","YES","NOT_RUN",""
"A053b","R053","反例","Performance","锁定构建；受控夹具；按docs/10记录环境和证据","只提供Mock计时或不同机器快结果","不作为参考机通过，缺项NOT_RUN","YES","NOT_RUN",""
"A054a","R054","正常路径","Performance","锁定构建；受控夹具；按docs/10记录环境和证据","10000切图和30分钟混合操作","内存/句柄/线程无持续阶梯增长","YES","NOT_RUN",""
"A054b","R054","反例","Performance","锁定构建；受控夹具；按docs/10记录环境和证据","worker崩溃、网络/睡眠/设备移除循环","可恢复，关闭后应用worker和音频清理","YES","NOT_RUN",""
"A055a","R055","正常路径","Packaging","锁定构建；受控夹具；按docs/10记录环境和证据","干净源码按脚本restore/build/test/publish","版本锁定、exit code真实、日志完整","YES","NOT_RUN",""
"A055b","R055","反例","Packaging","锁定构建；受控夹具；按docs/10记录环境和证据","缺依赖/构建失败/测试失败","脚本失败即停，不打印虚假成功","YES","NOT_RUN",""
"A056a","R056","正常路径","Packaging","锁定构建；受控夹具；按docs/10记录环境和证据","干净Windows离线解压运行并看ARW/HEIC/MD",".NET/WinAppSDK/native/WebView实际齐全","YES","NOT_RUN",""
"A056b","R056","反例","Packaging","锁定构建；受控夹具；按docs/10记录环境和证据","无SDK/全局WebView；从不可写/SMB位置运行","受控选择本地数据位置，不放网络DB","YES","NOT_RUN",""
"A057a","R057","正常路径","Packaging","锁定构建；受控夹具；按docs/10记录环境和证据","普通用户安装升级启动卸载保留设置","无需管理员，安装源和数据分离","YES","NOT_RUN",""
"A057b","R057","反例","Packaging","锁定构建；受控夹具；按docs/10记录环境和证据","升级失败、取消安装、删除数据遇链接","可回滚；不删除素材或链接目标","YES","NOT_RUN",""
"A058a","R058","正常路径","Packaging","锁定构建；受控夹具；按docs/10记录环境和证据","对发布目录每个native/runtime记录来源版本哈希许可","SBOM和NOTICE覆盖实际二进制和构建开关","YES","NOT_RUN",""
"A058b","R058","反例","Packaging","锁定构建；受控夹具；按docs/10记录环境和证据","FFmpeg换GPL构建或固定WebView升级","重新评审锁和义务，不继承错误许可声明","YES","NOT_RUN",""
"A059a","R059","正常路径","Packaging","锁定构建；受控夹具；按docs/10记录环境和证据","汇总所有需求用例构建产物哈希和用户说明","全证据可追溯；仅全部门禁通过才GO","YES","NOT_RUN",""
"A059b","R059","反例","Packaging","锁定构建；受控夹具；按docs/10记录环境和证据","缺ARW/WindowsUI/安装/参考机测试","明确NO-GO及NOT_RUN，不把计划写成成绩","YES","NOT_RUN",""
"A060a","R060","正常路径","Review","锁定构建；受控夹具；按docs/10记录环境和证据","读取分层规则和文档；阶段结束更新交接","不重复询问继续；执行与证据同步","YES","NOT_RUN",""
"A060b","R060","反例","Review","锁定构建；受控夹具；按docs/10记录环境和证据","上下文压缩/切代理/遇真实权限阻塞","先读HANDOFF/精确commit；标BLOCKED并推进独立任务","YES","NOT_RUN",""
"A061a","R061","正常路径","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","封面标签时长编码的多格式音频列表","可筛选排序，封面懒生成且不误当视频","YES","NOT_RUN",""
"A061b","R061","反例","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","标签损坏/巨型封面/未知时长","字段状态准确，资源有界不拖列表","YES","NOT_RUN",""
"A062a","R062","正常路径","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","混合数千视频音频动图滚动","仅可见区探测/封面优先，不全部播放","YES","NOT_RUN",""
"A062b","R062","反例","Media+UI","锁定构建；受控夹具；按docs/10记录环境和证据","快速滚过后点大图预览","过期工作取消/降级，前台不被视频封面占满","YES","NOT_RUN",""
"A063a","R063","正常路径","UI","锁定构建；受控夹具；按docs/10记录环境和证据","100/125/150/200%DPI和跨屏全屏切换","图像物理100%与布局正确，无残留尺寸","YES","NOT_RUN",""
"A063b","R063","反例","UI","锁定构建；受控夹具；按docs/10记录环境和证据","GPUdevice lost、睡眠唤醒、显示器拔插","纹理重建、颜色重验，界面不黑屏","YES","NOT_RUN",""
"A064a","R064","正常路径","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","大根扫描中关闭重开并恢复结果","先显示旧索引，后台核对，显示未完成范围","YES","NOT_RUN",""
"A064b","R064","反例","Integration","锁定构建；受控夹具；按docs/10记录环境和证据","上次根所在移动磁盘更换同盘符设备","卷身份/rootEpoch更新，不把旧盘索引套新盘","YES","NOT_RUN",""
"A065a","R065","正常路径","Native","隔离目录夹具","添加名称排除并预览应用；恢复视图","结果一致且扫描epoch不变","YES","PASS","artifacts/browser-final-directory-filter/native-refresh.json"
"A065b","R065","反例","Unit/Integration","相似名称和嵌套目录夹具","精确匹配与保留例外；非法正则；10000文件1目录","不误排预览副本；拒绝非法规则；只按目录求值","YES","PASS","artifacts/logs/file-browser-verified-tests.stdout.log"
"A066a","R066","正常路径","Native/Integration","无媒体元数据的文档夹具","切换PDF与表格分类并恢复视图选择","无需解码即可分类；文档默认详情且尊重手动选择","YES","PASS","artifacts/browser-final-directory-filter/native-refresh.json"
"A066b","R066","反例","Native","全部文件大目录","验证通用类型图标与适用列组合","未知文件仍可辨认；无关尺寸和时长可隐藏","YES","NOT_RUN","docs/FILE_BROWSER_PHASE_ONE.md"
